marker,minimum_calls,analysis_role,country,site,time_group,n_calls,mean_year_ce,publication,h_U,h_H,h_T,h_HV,h_J,h_C,h_D,h_W,h_A,h_I,h_R,h_Other,h_F,h_K,h_N,h_G,h_M,p_U,p_H,p_T,p_HV,p_J,p_C,p_D,p_W,p_A,p_I,p_R,p_Other,p_F,p_K,p_N,p_G,p_M,h_Q,h_Basal/unresolved,h_E,h_L,p_Q,p_Basal/unresolved,p_E,p_L
mtDNA,1,archival-scope context,Kazakhstan,SITE0032,B7 651-1000 CE,1,705.0,STUDY004,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0033,B4 900-201 BCE,1,-653.0,STUDY015,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0034,B8 1001-1500 CE,1,1258.0,STUDY004,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0035,B2 2500-1801 BCE,1,-1846.0,STUDY012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0035,B3 1800-901 BCE,7,-1681.7142857142858,STUDY012,0.6546536707079771,0.5345224838248488,0.0,0.0,0.3779644730092272,0.0,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.2857142857142857,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0036,B2 2500-1801 BCE,1,-2092.0,STUDY012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0037,B1 3500-2501 BCE,1,-2940.0,STUDY005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0038,B3 1800-901 BCE,3,-1704.3333333333333,STUDY012,0.5773502691896257,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5773502691896257,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0039,B7 651-1000 CE,2,770.5,STUDY007,0.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0040,B4 900-201 BCE,1,-600.0,STUDY007,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0041,B4 900-201 BCE,1,-347.0,STUDY007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0042,B4 900-201 BCE,3,-620.0,STUDY007,0.816496580927726,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0043,B4 900-201 BCE,1,-607.0,STUDY007,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0044,B8 1001-1500 CE,2,1400.0,STUDY004,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0045,B4 900-201 BCE,1,-681.0,STUDY004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0046,B4 900-201 BCE,1,-613.0,STUDY004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0047,B4 900-201 BCE,2,-462.5,STUDY007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0048,B4 900-201 BCE,2,-746.5,STUDY007,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0049,B7 651-1000 CE,1,900.0,STUDY007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0050,B5 200 BCE-300 CE,1,185.0,STUDY004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0051,B4 900-201 BCE,3,-350.0,STUDY007,0.5773502691896257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.816496580927726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
mtDNA,1,archival-scope context,Kazakhstan,SITE0052,B3 1800-901 BCE,4,-1567.75,STUDY012,0.7071067811865476,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
