marker,minimum_calls,valid,n_individual_calls,n_site_period_profiles,n_sites,n_lineage_categories,reduced_heldout_site_log_loss,full_period_heldout_site_log_loss,delta_log_loss_full_minus_reduced,site_bootstrap_delta_ci_low,site_bootstrap_delta_ci_high,outer_group_folds,model_interpretation
mtDNA,2,True,339,71,60,17,2.6698369076006645,2.693133318203221,0.02329641060255635,0.0007758146278795512,0.046270780956580486,4,"Negative delta favors period for held-out-site prediction. Ridge-penalized site/publication terms are nuisance intercept proxies, not a fitted random-effects sampling model; interval is descriptive site bootstrap, not a P value."
mtDNA,3,True,277,40,38,17,2.6436696235208132,2.647347637438474,0.003678013917660894,-0.016797336355402526,0.02693090659532871,4,"Negative delta favors period for held-out-site prediction. Ridge-penalized site/publication terms are nuisance intercept proxies, not a fitted random-effects sampling model; interval is descriptive site bootstrap, not a P value."
Y,2,True,160,49,42,9,1.659992268249157,1.6079085879298967,-0.052083680319260514,-0.10692780225578835,0.00443442860550747,4,"Negative delta favors period for held-out-site prediction. Ridge-penalized site/publication terms are nuisance intercept proxies, not a fitted random-effects sampling model; interval is descriptive site bootstrap, not a P value."
Y,3,True,108,23,22,9,1.7541553722362087,1.6533529485382417,-0.10080242369796692,-0.16251686669067772,-0.03860088525497504,4,"Negative delta favors period for held-out-site prediction. Ridge-penalized site/publication terms are nuisance intercept proxies, not a fitted random-effects sampling model; interval is descriptive site bootstrap, not a P value."
