replicate,mt_raw_mean_tv,y_raw_mean_tv,delta_y_minus_mt_raw,mt_noise_floor_subtracted_mean_tv,y_noise_floor_subtracted_mean_tv,delta_y_minus_mt_noise_floor_subtracted,mt_parametric_bias_corrected_mean_tv,y_parametric_bias_corrected_mean_tv,delta_y_minus_mt_parametric_bias_corrected
0,0.5801198822937953,0.5157507200985462,-0.06436916219524913,0.13963084998642794,0.2073802475762039,0.06774939758977597,0.33891947191086436,0.40271552521822734,0.06379605330736299
1,0.6051175015460729,0.5477910482374767,-0.057326453308596204,0.16004870733394375,0.2394205757151345,0.07937186838119076,0.3639170911631419,0.43475585335715794,0.07083876219401603
2,0.5748243508747711,0.4640056877451835,-0.1108186631295876,0.14660335428168939,0.1564620576264694,0.009858703344780007,0.33362394049184,0.35097049286486465,0.017346552373024626
3,0.6712159863945578,0.4619283824640968,-0.20928760393046103,0.22614719218242849,0.16813191787826248,-0.058015274304166004,0.43001557601162677,0.3488931875837779,-0.08112238842784886
4,0.5967825207405136,0.44868944097041513,-0.1480930797700985,0.1517137265283843,0.16195462954497566,0.010240903016591363,0.3555821103575825,0.33565424609009625,-0.019927864267486273
5,0.6485625159154571,0.5229319606630531,-0.12563055525240396,0.21759729313189924,0.22483188875550222,0.007234595623602985,0.407362105532526,0.4098967657827343,0.0025346602502083204
6,0.6604299800728372,0.4714285714285714,-0.18900140864426573,0.22504985649562856,0.1794243993152817,-0.04562545718034686,0.41922956968990627,0.35839337654825265,-0.060836193141653616
7,0.6074252188913843,0.5241428788421271,-0.08328234004925728,0.18439650404433433,0.23374560769363567,0.04934910364930134,0.3662248085084533,0.4111076839618081,0.04488287545335479
8,0.6164578366959319,0.37152111556873463,-0.24493672112719728,0.1713890424838027,0.10305921381658077,-0.06832982866722194,0.3752574263130009,0.25848592068841575,-0.11677150562458516
9,0.6146052360338075,0.4422249707963994,-0.17238026523740807,0.1695364418216782,0.14390938522883903,-0.025627056592839176,0.3734048256508764,0.32918977591608056,-0.04421504973479584
10,0.6340051171983945,0.477075678756351,-0.1569294384420435,0.18893632298626523,0.18515516990129388,-0.003781153084971345,0.3928047068154635,0.36422385702839843,-0.028580849787065044
11,0.5413824884792627,0.48284946236559145,-0.05853302611367128,0.10780434902903815,0.17904750570120528,0.07124315667216713,0.30018207809633163,0.36981426748527263,0.069632189388941
12,0.5690503940503941,0.41905812441526724,-0.1499922696351269,0.12398159983826476,0.12510330035044323,0.0011217005121784696,0.32784998366746304,0.3060229295349485,-0.021827054132514567
13,0.6512310479747454,0.42632038926681787,-0.22491065870792754,0.20616225376261613,0.1431272902494331,-0.06303496351318302,0.4100306375918144,0.313285194386499,-0.09674544320531542
14,0.6412455197132616,0.4624337017309368,-0.17881181798232482,0.1991691858185927,0.15413317144355299,-0.04503601437503971,0.40004510933033066,0.34939850685061785,-0.05064660247971281
15,0.527692557661598,0.368973307672998,-0.15871924998859993,0.1186503574701178,0.09298272705035861,-0.025667630419759196,0.28819688477256417,0.25593811279267925,-0.032258771979884915
16,0.560822106620426,0.5079631852741097,-0.05285892134631631,0.15664259812258238,0.21226864812591706,0.055626050003334676,0.3322391321440906,0.39492799039379073,0.06268885824970011
17,0.5170238227381083,0.5791491841491841,0.06212536141107583,0.10324791302573863,0.27724662523673027,0.17399871221099164,0.28828187390141785,0.4661139892688652,0.17783211536744736
18,0.5297462406015037,0.42775689223057645,-0.10198934837092721,0.11635176847932154,0.14720015670595726,0.03084838822663573,0.2967492412597626,0.3147216973502576,0.017972456090495026
19,0.5455696046534555,0.3454944296559203,-0.2000751749975352,0.10780166078146236,0.07343699790544236,-0.03436466287602,0.30436919427052456,0.23245923477560151,-0.07190995949492304
20,0.5983331166635409,0.4689690851277855,-0.12936403153575543,0.17643818866456362,0.17634080936509947,-9.737929946415647e-05,0.35713270628061,0.35593389024746663,-0.0011988160331433684
21,0.608994708994709,0.42445114409400125,-0.18454356490070772,0.16748182928474423,0.147946653060214,-0.019535176224530215,0.367794298611778,0.31141594921368243,-0.05637834939809555
22,0.6626133786848073,0.49541761148904007,-0.16719576719576723,0.21754458447267797,0.18795159791694457,-0.02959298655573339,0.4214129683018762,0.3823824166087212,-0.039030551693155
23,0.541048040726964,0.41533746914200814,-0.12571057158495585,0.10214631000689822,0.1160876556024709,0.013941345595572682,0.29984763034403306,0.3023022742616894,0.0024546439176563184
24,0.5849315406743459,0.4308079077751103,-0.15412363289923564,0.14071303325875345,0.14629045782543346,0.005577424566680006,0.34373113029141494,0.3177727128947914,-0.025958417396623523
25,0.5363628201863496,0.40235785149540126,-0.13400496869094836,0.0962186697862906,0.10974405794326077,0.013525388156970172,0.29516240980341857,0.2893226566150825,-0.005839753188336072
26,0.634596909470859,0.41829462087865454,-0.21630228859220446,0.18952811525872976,0.12375174661783907,-0.06577636864089069,0.393396499087928,0.30525942599833567,-0.08813707308959234
27,0.5693192459169902,0.47250325906340945,-0.09681598685358078,0.12814994150077935,0.16413278654106714,0.035982845040287786,0.32811883553405924,0.3594680641830906,0.031349228649031335
28,0.5533253386824815,0.4037857104937851,-0.14953962818869637,0.11539358481426758,0.11907168842118789,0.0036781036069203077,0.31212492829955046,0.29075051561346615,-0.02137441268608431
29,0.6133346982425323,0.4631071949044299,-0.15022750333810236,0.17840122149072052,0.17230122500865155,-0.0060999964820689645,0.3721342878596013,0.3500720000241112,-0.02206228783549008
