y_encoding,adjustment,mt_point_mean_tv,y_point_mean_tv,delta_point_y_minus_mt,bootstrap_delta_median_diagnostic,bootstrap_delta_mean_minus_point,percentile_delta_ci_low,percentile_delta_ci_high,basic_delta_ci_low,basic_delta_ci_high,median_centered_delta_ci_low,median_centered_delta_ci_high,cluster_bootstrap_replicates,rejected_empty_period_draws,total_attempted_cluster_draws,rejected_empty_period_fraction,interval_caveat
broad_L1,raw,0.5174041838957805,0.4110232982081721,-0.10638088568760834,-0.13139751313714454,-0.024888607092679593,-0.2636607851060976,0.0016837861504215368,-0.2144455575256382,0.050899013730880904,-0.23864415765656138,0.026700413599957742,10000,45,10045,0.004479840716774514,"Observed-data values are the point estimates. Percentile, basic and median-centered intervals are all reported because sparse-bin ratio statistics make the bootstrap distribution off-center. Empty-period draws are rejected; the reported fraction quantifies this conditioning. Correction terms are fixed, so their model uncertainty is not propagated."
broad_L1,noise_floor_subtracted,0.09602842539793695,0.11975486961451251,0.023726444216575562,0.008278991841469033,-0.014911576487141578,-0.10499625346944337,0.12651917318458286,-0.07906628475143174,0.1524491419025945,-0.08954880109433684,0.14196662555968942,10000,45,10045,0.004479840716774514,"Observed-data values are the point estimates. Percentile, basic and median-centered intervals are all reported because sparse-bin ratio statistics make the bootstrap distribution off-center. Empty-period draws are rejected; the reported fraction quantifies this conditioning. Correction terms are fixed, so their model uncertainty is not propagated."
broad_L1,parametric_bias_corrected,0.27620377351284947,0.29798810332785336,0.02178432981500389,-0.0033134170803437446,-0.02516428553211378,-0.13456195585835642,0.12868743642975736,-0.08511877679974958,0.1781306154883642,-0.10946420896300879,0.153785183325105,10000,45,10045,0.004479840716774514,"Observed-data values are the point estimates. Percentile, basic and median-centered intervals are all reported because sparse-bin ratio statistics make the bootstrap distribution off-center. Empty-period draws are rejected; the reported fraction quantifies this conditioning. Correction terms are fixed, so their model uncertainty is not propagated."
AADR_ISOGG_prefix_family,raw,0.5174041838957805,0.5061118892001245,-0.011292294695655958,-0.037328042218946006,-0.02621042318762421,-0.15348507202588643,0.07667905174717049,-0.0992636411384824,0.13090048263457452,-0.12744932450259638,0.10271479927046054,10000,46,10046,0.004578936890304599,"Observed-data values are the point estimates. Percentile, basic and median-centered intervals are all reported because sparse-bin ratio statistics make the bootstrap distribution off-center. Empty-period draws are rejected; the reported fraction quantifies this conditioning. Correction terms are fixed, so their model uncertainty is not propagated."
AADR_ISOGG_prefix_family,noise_floor_subtracted,0.09602842539793695,0.14589851379440666,0.04987008839646971,0.042956442914869865,-0.006692866714751104,-0.06246090411650774,0.14794671214726843,-0.048206535354329005,0.16220108090944715,-0.05554725863490789,0.15486035762886827,10000,46,10046,0.004578936890304599,"Observed-data values are the point estimates. Percentile, basic and median-centered intervals are all reported because sparse-bin ratio statistics make the bootstrap distribution off-center. Empty-period draws are rejected; the reported fraction quantifies this conditioning. Correction terms are fixed, so their model uncertainty is not propagated."
AADR_ISOGG_prefix_family,parametric_bias_corrected,0.27620377351284947,0.36992249155327434,0.09371871804042486,0.06735809799268849,-0.026565483249883906,-0.048530866194652855,0.18089466796584952,0.006542768115000208,0.23596830227550258,-0.022170246146916484,0.2072552880135859,10000,46,10046,0.004578936890304599,"Observed-data values are the point estimates. Percentile, basic and median-centered intervals are all reported because sparse-bin ratio statistics make the bootstrap distribution off-center. Empty-period draws are rejected; the reported fraction quantifies this conditioning. Correction terms are fixed, so their model uncertainty is not propagated."
