analysis_bin,n_calls,n_sites,U,H,T,HV,J,C,D,W,A,I,R,F,Other,K,N,G,M
B1 3500-2501 BCE,54,14,0.18518518518518517,0.1111111111111111,0.037037037037037035,0.14814814814814814,0.1111111111111111,0.07407407407407407,0.0,0.09259259259259259,0.018518518518518517,0.1111111111111111,0.07407407407407407,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0
B2 2500-1801 BCE,73,16,0.1917808219178082,0.0684931506849315,0.1232876712328767,0.1917808219178082,0.0821917808219178,0.0273972602739726,0.0,0.1232876712328767,0.0,0.0410958904109589,0.0684931506849315,0.0,0.0,0.0136986301369863,0.0547945205479452,0.0,0.0136986301369863
B3 1800-901 BCE,96,33,0.3125,0.13541666666666666,0.19791666666666666,0.052083333333333336,0.08333333333333333,0.010416666666666666,0.0,0.041666666666666664,0.010416666666666666,0.010416666666666666,0.052083333333333336,0.0,0.010416666666666666,0.03125,0.041666666666666664,0.010416666666666666,0.0
B4 900-201 BCE,85,51,0.25882352941176473,0.12941176470588237,0.058823529411764705,0.03529411764705882,0.058823529411764705,0.08235294117647059,0.10588235294117647,0.023529411764705882,0.08235294117647059,0.058823529411764705,0.0,0.023529411764705882,0.023529411764705882,0.011764705882352941,0.0,0.047058823529411764,0.0
B5 200 BCE-300 CE,69,23,0.2463768115942029,0.08695652173913043,0.043478260869565216,0.057971014492753624,0.08695652173913043,0.07246376811594203,0.08695652173913043,0.043478260869565216,0.07246376811594203,0.014492753623188406,0.0,0.043478260869565216,0.07246376811594203,0.057971014492753624,0.014492753623188406,0.0,0.0
B6 301-650 CE,33,16,0.09090909090909091,0.18181818181818182,0.0,0.0,0.0,0.12121212121212122,0.15151515151515152,0.030303030303030304,0.15151515151515152,0.030303030303030304,0.0,0.030303030303030304,0.0,0.0,0.030303030303030304,0.06060606060606061,0.12121212121212122
B7 651-1000 CE,15,10,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.2,0.0,0.26666666666666666,0.0,0.0,0.13333333333333333,0.06666666666666667,0.0,0.0,0.06666666666666667,0.0
B8 1001-1500 CE,13,7,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.15384615384615385,0.23076923076923078,0.0,0.0,0.07692307692307693,0.0,0.23076923076923078,0.07692307692307693,0.0,0.0,0.07692307692307693,0.0
