analysis_bin,n_calls,n_sites,R,J,Q,Other,Basal/unresolved,C,N,E,L
B1 3500-2501 BCE,22,7,0.3181818181818182,0.45454545454545453,0.13636363636363635,0.045454545454545456,0.0,0.0,0.045454545454545456,0.0,0.0
B2 2500-1801 BCE,27,9,0.18518518518518517,0.25925925925925924,0.07407407407407407,0.14814814814814814,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.07407407407407407,0.0
B3 1800-901 BCE,48,20,0.75,0.10416666666666667,0.0625,0.020833333333333332,0.020833333333333332,0.0,0.0,0.0,0.041666666666666664
B4 900-201 BCE,51,36,0.6470588235294118,0.058823529411764705,0.1568627450980392,0.0196078431372549,0.0392156862745098,0.0392156862745098,0.0196078431372549,0.0196078431372549,0.0
B5 200 BCE-300 CE,37,17,0.40540540540540543,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.05405405405405406,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.05405405405405406
B6 301-650 CE,24,14,0.3333333333333333,0.0,0.375,0.08333333333333333,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.041666666666666664
B7 651-1000 CE,13,9,0.46153846153846156,0.46153846153846156,0.0,0.0,0.0,0.07692307692307693,0.0,0.0,0.0
B8 1001-1500 CE,7,6,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.42857142857142855,0.0,0.0,0.0
