analysis_bin,n_calls,n_sites,R,J,Q,Other,Basal/unresolved,C,N,E,L
B1 3500-2501 BCE,22,7,0.42857142857142855,0.39999999999999997,0.08571428571428572,0.014285714285714287,0.0,0.0,0.07142857142857142,0.0,0.0
B2 2500-1801 BCE,27,9,0.2685185185185185,0.12962962962962962,0.07407407407407407,0.046296296296296294,0.027777777777777776,0.1111111111111111,0.2222222222222222,0.12037037037037036,0.0
B3 1800-901 BCE,48,20,0.7979166666666667,0.05,0.08333333333333334,0.00625,0.00625,0.0,0.0,0.0,0.05625
B4 900-201 BCE,51,36,0.6087962962962963,0.08333333333333333,0.19444444444444445,0.009259259259259259,0.041666666666666664,0.020833333333333332,0.013888888888888888,0.027777777777777776,0.0
B5 200 BCE-300 CE,37,17,0.5245098039215685,0.0857843137254902,0.1372549019607843,0.16666666666666666,0.014705882352941176,0.007352941176470588,0.007352941176470588,0.0196078431372549,0.03676470588235294
B6 301-650 CE,24,14,0.35119047619047616,0.0,0.32142857142857145,0.14285714285714285,0.023809523809523808,0.0,0.07142857142857142,0.05357142857142857,0.03571428571428571
B7 651-1000 CE,13,9,0.5,0.3888888888888889,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
B8 1001-1500 CE,7,6,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.4166666666666667,0.0,0.0,0.0
