subset,y_encoding,y_marker_column,n_individuals,n_sites,bootstrap_replicates,mt_mean_adjacent_tv,y_mean_adjacent_tv,delta_y_minus_mt,bootstrap_median_delta,delta_ci_low,delta_ci_high,bootstrap_two_sided_sign_tail_probability,bootstrap_sign_tail_interpretation,category_count,categories,mapping_source,mapping_caveat,delta_change_vs_broad,delta_change_bootstrap_median,delta_change_ci_low,delta_change_ci_high
Molecular males with both calls; shared country-locality cluster bootstrap across periods and markers,broad_L1,y_l1_pooled,216,98,50000,0.5174041838957805,0.4110232982081721,-0.10638088568760834,-0.13202954452954455,-0.26729147530224207,0.002023866241241607,0.05332,Bootstrap sign-stability diagnostic; not a null-hypothesis p-value,9,R;J;Q;Other;Basal/unresolved;C;N;E;L,"marker-specific AADR Y call, first-letter L1 encoding",Broad descriptive encoding,0.0,0.0,0.0,0.0
Molecular males with both calls; shared country-locality cluster bootstrap across periods and markers,AADR_ISOGG_prefix_family,y_isogg_prefix_family_pooled,216,98,50000,0.5174041838957805,0.5061118892001245,-0.011292294695655958,-0.03741209811532675,-0.15402192440928408,0.07568114306662556,0.52204,Bootstrap sign-stability diagnostic; not a null-hypothesis p-value,12,R1a;Other;J2a;Q1b;R1b;Basal/unresolved;Q1a;C2a;J1a;N;R2;E1b,"y_isogg, first letter + integer + branch letter",Nomenclature-prefix sensitivity only; not a phylogenetic re-call and not uniform evolutionary depth across haplogroups,0.09508859099195238,0.09285714285714297,0.02337047235366573,0.1760522471849909
