analysis_bin,n_calls,n_sites,U,H,T,HV,J,C,D,W,A,I,R,F,Other,K,N,G,M
B1 3500-2501 BCE,54,14,0.20416666666666666,0.04702380952380952,0.005952380952380952,0.06904761904761905,0.017857142857142856,0.09285714285714286,0.0,0.24523809523809526,0.07142857142857142,0.029166666666666667,0.16964285714285712,0.0,0.023809523809523808,0.023809523809523808,0.0,0.0,0.0
B2 2500-1801 BCE,73,16,0.24311625874125875,0.07156905594405594,0.2571022727272727,0.12095716783216784,0.015297202797202798,0.125,0.0,0.019558566433566432,0.0,0.03747814685314685,0.036931818181818184,0.0,0.0,0.004807692307692308,0.06676136363636363,0.0,0.0014204545454545455
B3 1800-901 BCE,96,33,0.35518093018093017,0.15220890220890224,0.19434454434454435,0.028651903651903652,0.07007992007992007,0.015151515151515152,0.0,0.04129204129204129,0.004329004329004329,0.004329004329004329,0.044344544344544344,0.0,0.004329004329004329,0.016761016761016764,0.05384615384615384,0.015151515151515152,0.0
B4 900-201 BCE,85,51,0.24477124183006535,0.10751633986928107,0.04640522875816993,0.0392156862745098,0.06209150326797385,0.12254901960784313,0.09313725490196079,0.029411764705882353,0.08496732026143793,0.04248366013071895,0.0,0.024509803921568627,0.024509803921568627,0.00980392156862745,0.0,0.06862745098039216,0.0
B5 200 BCE-300 CE,69,23,0.2193064182194617,0.019047619047619046,0.012836438923395446,0.08260869565217391,0.12101449275362318,0.11413043478260869,0.05305383022774328,0.025258799171842646,0.15760869565217392,0.021739130434782608,0.0,0.043478260869565216,0.017080745341614908,0.06935817805383024,0.043478260869565216,0.0,0.0
B6 301-650 CE,33,16,0.06875,0.175,0.0,0.0,0.0,0.1875,0.28125,0.015625,0.10625,0.03125,0.0,0.015625,0.0,0.0,0.00625,0.0375,0.075
B7 651-1000 CE,15,10,0.0,0.0,0.05,0.1,0.025,0.05,0.25,0.0,0.25,0.0,0.0,0.2,0.05,0.0,0.0,0.025,0.0
B8 1001-1500 CE,13,7,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.07142857142857142,0.35714285714285715,0.0,0.0,0.07142857142857142,0.0,0.32142857142857145,0.047619047619047616,0.0,0.0,0.03571428571428571,0.0
